19 20a 21 22 23 24 24reseq 25 26 27 28 29 30 31
MSTRG.2.1|1002|u|NA|ChrA_C_glabrata_CBS138|cglab 1 0 0 0 0 0 0 0 0 1 0 0 0 0
CAGL0A00105g|1029 8 4 0 0 0 4 2 2 9 0 0 0 6 1
CAGL0A00116g|2139 5 2 1 0 0 0 0 1 0 0 0 0 1 0
MSTRG.4.1|899|u|NA|ChrA_C_glabrata_CBS138|cglab 16 16 2 1 0 2 6 7 22 11 13 7 56 31
MSTRG.5.1|351|u|NA|ChrA_C_glabrata_CBS138|cglab 0 0 0 0 0 0 0 1 7 0 0 0 5 0
MSTRG.6.1|1246|u|NA|ChrA_C_glabrata_CBS138|cglab 5 6 1 1 0 1 1 1 1 13 5 3 6 7
MSTRG.7.1|1767|u|NA|ChrA_C_glabrata_CBS138|cglab 6 5 2 6 1 7 3 3 9 35 71 15 26 1
MSTRG.8.1|2484|u|NA|ChrA_C_glabrata_CBS138|cglab 35 28 18 15 15 36 55 26 59 205 400 102 217 80
CAGL0A00132g|1346 33 41 6 2 1 48 60 34 69 252 440 148 462 107
MSTRG.10.1|2057|x|CAGL0A00132g-T|ChrA_C_glabrata_CBS138|cglab 765 825 932 1908 575 1117 1569 1660 2810 2673 4578 1398 3508 1045
CAGL0A00154g|910 169 176 246 502 177 307 495 409 835 638 1006 294 1002 284
MSTRG.13.1|1667|x|CAGL0A00154g-T|ChrA_C_glabrata_CBS138|cglab 103 108 39 80 30 76 139 106 353 355 450 99 251 121
MSTRG.14.1|1622|x|CAGL0A00165g-T|ChrA_C_glabrata_CBS138|cglab 28 60 13 17 12 115 175 120 322 322 498 134 924 300
CAGL0A00165g|1105 1311 1274 749 1112 556 444 660 779 1475 1676 2460 788 2990 1311
CAGL0A00187g|2738 2105 2088 1555 1450 1154 1036 1350 1750 2373 1536 2726 1035 6526 2171
CAGL0A00209g|2437 12360 12036 11911 10880 6865 2217 3066 3927 6163 3650 5763 2793 6342 2073
MSTRG.18.1|577|x|CAGL0A00231g-T|ChrA_C_glabrata_CBS138|cglab 10 19 8 16 4 0 1 1 1 3 1 0 9 5
CAGL0A00231g|2693 2173 2049 2473 2085 1478 313 435 436 621 313 541 282 1252 484
CAGL0A00253g|1094 3094 2844 1852 2867 1063 473 592 954 1705 1783 2495 790 2778 1148
CAGL0A00275g|1858 5056 4985 2301 2215 1688 1120 1689 2346 2974 1861 3632 1796 6128 2303
CAGL0A00297g|1582 1233 1265 496 693 417 238 340 453 706 816 1411 512 2030 764
CAGL0A00319g|1687 1304 1319 759 525 517 369 483 635 825 591 1091 502 2366 812
MSTRG.24.1|290|x|CAGL0A00319g-T|ChrA_C_glabrata_CBS138|cglab 33 23 9 24 4 2 4 3 15 15 19 1 5 3
CAGL0A00341g|1132 201 174 156 278 99 583 899 1070 2567 1822 2615 640 3412 1421
CAGL0A00363g|2450 9811 10378 3009 2342 2233 1717 2454 3953 5659 3139 5184 2421 21960 6701
CAGL0A00385g|3949 768 786 867 512 661 296 424 637 903 478 718 357 540 165
CAGL0A00407g|1978 4858 4625 3288 5360 2090 938 1488 1938 3121 3199 5146 1721 4487 1733
CAGL0A00429g|5495 8930 8989 7832 11287 4398 1210 1680 1854 3306 2626 3864 1729 2425 1198
CAGL0A00451g|6884 5569 5342 1797 1602 1214 901 1278 1616 1918 1636 3035 1711 6862 2358
CAGL0A00473g|2603 3328 3378 2730 2147 1694 959 1381 1740 2503 1239 2026 980 4358 1306
CAGL0A00495g|4070 109195 100075 77048 57433 43954 5199 7552 7278 16505 7397 10187 5094 15050 4828
CAGL0A00517g|3931 2998 2684 2480 1646 1727 733 1127 1707 2623 1541 2234 729 2788 905
CAGL0A00539g|1120 1881 1794 1214 1543 847 474 665 909 1260 1271 1873 645 1927 796
CAGL0A00561g|1440 466 506 482 329 333 179 258 377 482 238 478 220 773 259
CAGL0A00583g|2352 653 691 698 805 428 230 406 465 691 482 812 418 1238 475
CAGL0A00605g|3249 1426 1468 1240 873 803 380 567 747 1012 686 1253 521 1765 602
CAGL0A00627g|986 2190 1936 1081 1705 719 293 495 541 1007 885 1099 508 656 278
MSTRG.39.1|330|x|CAGL0A00627g-T|ChrA_C_glabrata_CBS138|cglab 1 0 0 3 0 0 1 0 1 0 1 0 1 1
CAGL0A00649g|384 7 7 0 4 0 2 0 3 4 9 8 3 13 7
CAGL0A00671r|109 1 0 0 0 0 0 0 0 0 1 0 0 0 0
MSTRG.42.1|1110|x|CAGL0A00715g-T|ChrA_C_glabrata_CBS138|cglab 62 70 98 124 60 34 42 68 99 70 122 64 101 37
CAGL0A00715g|291 0 0 0 0 0 0 0 3 1 2 0 0 4 1
MSTRG.44.1|1305|x|CAGL0A00737g-T|ChrA_C_glabrata_CBS138|cglab 171 203 193 184 135 79 117 180 229 144 206 112 413 124
CAGL0A00737g|1824 20 23 9 7 3 5 6 5 12 7 16 3 25 6
MSTRG.46.1|639|x|CAGL0A00737g-T|ChrA_C_glabrata_CBS138|cglab 56 60 66 95 58 50 58 100 115 65 123 72 239 72
CAGL0A00781g|4004 1446 1320 1402 1137 875 682 975 1142 1492 835 1576 831 3547 1114
CAGL0A00803g|4801 2054 2011 2060 1800 1375 413 541 660 959 572 949 483 2456 793
CAGL0A00825g|1731 1777 1765 1074 727 794 166 225 245 356 233 403 247 794 305
CAGL0A00847g|1505 665 635 225 314 182 168 219 356 513 399 609 283 1135 466
CAGL0A00869g|2756 754 799 511 651 370 422 589 740 912 697 1083 579 1363 486
CAGL0A00891g|2561 2114 2037 1797 764 1219 395 525 741 915 562 981 511 1923 588
CAGL0A00913g|5178 1549 1513 1568 1338 1046 394 515 588 720 387 612 380 1244 345
CAGL0A00935g|1623 1266 1373 502 398 377 436 584 848 1234 827 1384 759 3657 1333
CAGL0A00957g|1811 797 760 815 556 521 388 521 747 963 665 1014 463 1674 528
CAGL0A00979g|1723 52562 49195 20036 35271 14225 4851 7349 8481 19234 19215 26675 8589 9795 4362
MSTRG.56.1|407|u|NA|ChrA_C_glabrata_CBS138|cglab 32 42 9 11 8 1 1 4 9 11 7 2 11 5
CAGL0A01001g|1106 633 630 345 261 242 99 106 157 245 472 570 248 1588 619
CAGL0A01023g|1563 2088 2026 1218 922 896 315 377 655 972 681 950 441 1479 421
CAGL0A01045g|2596 6544 5446 5857 1328 4132 7417 9702 18002 15727 13017 17975 11990 18140 6205
MSTRG.60.1|392|x|CAGL0A01045g-T|ChrA_C_glabrata_CBS138|cglab 39 37 40 60 18 8 13 15 32 11 16 6 26 8
CAGL0A01067g|2054 5968 5618 2237 964 1905 505 762 1049 1264 524 986 540 3019 934
CAGL0A01089g|2243 848 864 1828 1314 648 170 252 337 636 488 786 261 798 276
CAGL0A01111g|986 2797 3028 2923 5705 2130 2138 3000 3696 13981 13433 16974 3166 6790 3298
CAGL0A01133g|2753 1436 1370 1194 934 827 464 617 949 1215 736 1216 552 1585 529
CAGL0A01155g|2167 598 618 1054 737 643 94 134 126 263 142 191 89 297 99
CAGL0A01177g|3153 667 586 534 114 401 217 290 440 471 286 406 283 1061 362
CAGL0A01193g|312 0 0 0 0 0 0 0 0 0 0 0 0 0 0
MSTRG.67.1|1058|x|CAGL0A01177g-T|ChrA_C_glabrata_CBS138|cglab 49 24 157 72 80 85 127 189 216 53 47 23 520 122
CAGL0A01199g|2464 8524 8615 2085 1761 1515 3488 4954 8110 13152 9456 15778 6592 36075 13400
MSTRG.69.1|1587|x|CAGL0A01221g-T|ChrA_C_glabrata_CBS138|cglab 72 77 16 23 19 10 13 22 36 40 58 18 66 30
CAGL0A01221g|4502 16942 16697 4329 6109 3020 2945 4255 6569 10025 2580 3594 1362 18679 5538
CAGL0A01243g|5146 1298 1257 2416 1713 1637 1840 2652 3772 5834 2567 4076 1465 12516 4944
CAGL0A01284g|4333 119 147 637 131 383 965 1360 2019 2428 871 1538 731 3774 1225
CAGL0A01325g|3523 794 848 1249 758 754 195 257 368 533 444 651 241 1091 320
MSTRG.75.1|637|x|CAGL0A01325g-T|ChrA_C_glabrata_CBS138|cglab 1 3 1 0 0 0 0 1 0 0 0 0 0 0
CAGL0A01366g|4519 131 151 385 88 214 151 227 292 368 240 401 185 1263 375
CAGL0A01408g|1903 300 328 461 129 289 81 98 138 173 123 180 66 308 92
CAGL0A01430g|2356 17660 18049 10588 4468 6591 4169 5925 8272 9854 7058 11579 7583 22007 7120
CAGL0A01452g|3261 2016 1792 1938 1610 1162 338 511 628 824 460 785 493 1394 456
CAGL0A01474g|1779 6458 5873 4109 7425 3187 729 1066 760 2349 542 947 201 142 65
CAGL0A01496r|98 0 0 0 0 1 0 0 0 1 0 1 0 0 0
CAGL0A01540g|2282 45324 41454 21176 36490 13406 5849 8959 11079 34275 30413 38095 10620 19018 8440
MSTRG.84.1|250|x|CAGL0A01540g-T|ChrA_C_glabrata_CBS138|cglab 3 3 3 5 1 0 0 6 0 3 5 1 3 0
CAGL0A01562g|1830 88034 78811 30395 42196 23354 7856 11751 14864 34040 29347 47585 14432 16975 7608
CAGL0A01584g|258 14 15 11 19 3 9 19 8 41 42 79 23 39 15
CAGL0A01606g|840 182 172 131 192 112 5 10 13 26 45 58 17 30 12
MSTRG.87.1|632|u|NA|ChrA_C_glabrata_CBS138|cglab 8 7 7 2 3 1 3 0 2 0 3 1 11 1
