45 45C 45Creseq 46a 47 48 49 50 51 52 52reseq 52reseq2 53 53reseq 54 55 56 57
CTRG_05772|3477 1023 255 694 2692 3743 1671 2047 9107 8532 9099 11083 3174 1955 2833 3069 4108 4275 4413
CTRG_05773|1242 627 391 1052 666 819 559 1109 4067 3779 3879 4816 1428 1160 1549 1454 1578 2090 1625
CTRG_05774|615 458 686 1767 1083 499 387 676 1546 1818 1734 2137 618 920 1297 1170 1367 1860 1394
CTRG_05775|3033 2044 2392 5961 1757 3316 1463 2355 1790 2487 2123 2593 787 651 949 895 1114 2192 2097
CTRG_05776|2073 2786 4544 12053 4252 2391 1370 1742 1995 3451 2544 3115 976 1115 1721 1462 1983 3532 2971
CTRG_05777|456 26 20 63 110 36 44 47 85 93 105 129 42 48 78 82 82 165 141
CTRG_05778|1308 4607 9759 25209 29432 5228 4285 5034 12518 18256 15601 18691 5792 6376 9177 8523 11839 18133 14942
CTRG_05779|1002 2505 1147 3063 2310 2747 2048 2889 5023 5891 5877 6873 2032 1905 2732 2252 2887 3832 3131
CTRG_05780|1215 550 51 151 1441 1528 1094 1504 6194 6996 6819 8547 2532 1514 2247 2017 2361 3189 2655
CTRG_05781|1581 281 581 1494 1577 417 339 496 1806 1826 2135 2563 723 663 921 857 1016 1761 1341
CTRG_05782|951 351 1197 3087 1576 413 453 473 822 1135 939 1164 317 647 976 871 1037 1246 958
CTRG_05783|2034 1521 1355 3392 2093 1206 819 980 2239 2901 2777 3243 1022 1124 1676 1332 1682 2051 1714
MSTRG.16.1|356|x|CTRG_05783-T|Supercontig_3.10_C_tropicalis_MYA-3404|ctrop 9 1 3 12 7 7 10 82 107 85 80 21 65 112 43 58 125 107
CTRG_05784|408 82 112 298 59 159 88 96 345 512 446 548 165 180 268 212 298 386 370
CTRG_05785|1107 1930 1662 4337 1464 2122 1207 1559 4155 5442 4458 5467 1575 1731 2486 2044 2645 6018 5239
CTRG_05786|2601 756 1185 3093 855 638 467 532 691 968 791 1004 300 348 518 465 516 830 748
CTRG_05787|1278 1811 1192 3237 2560 1493 1273 1447 2409 2889 2503 3113 895 1121 1634 1359 1840 1958 1621
CTRG_05788|777 1529 2534 6509 2697 1332 1184 1562 465 714 504 673 177 404 553 509 573 1457 1105
CTRG_05789|1284 2656 4416 11536 2175 2872 1433 2061 1504 2120 1762 2103 609 538 809 757 930 2304 2163
