Run	SRA_Study
SRR030142	SRP001412
SRR400661	SRP010426
SRR400662	SRP010426
SRR400663	SRP010426
SRR419386	SRP011085
SRR419388	SRP011085
SRR419391	SRP011085
SRR419517	SRP011085
SRR419541	SRP011085
SRR419543	SRP011085
SRR419545	SRP011085
SRR420189	SRP011085
SRR420197	SRP011085
SRR420192	SRP011085
SRR420196	SRP011085
SRR420198	SRP011085
SRR420200	SRP011085
SRR449307	SRP011085
SRR423934	SRP011085
SRR423954	SRP011085
SRR449429	SRP011085
SRR423956	SRP011085
SRR423959	SRP011085
SRR423961	SRP011085
SRR424180	SRP011085
SRR449430	SRP011085
SRR424346	SRP011085
SRR424348	SRP011085
SRR424571	SRP011085
SRR424574	SRP011085
SRR447599	SRP011482
SRR489763	SRP011482
SRR489771	SRP011482
SRR489785	SRP011482
SRR447608	SRP011482
SRR489766	SRP011482
SRR489772	SRP011482
SRR501096	SRP011482
SRR447603	SRP011482
SRR489760	SRP011482
SRR489773	SRP011482
SRR501091	SRP011482
SRR492976	SRP012583
SRR492977	SRP012583
SRR492978	SRP012583
SRR492979	SRP012583
SRR447615	SRP022200
SRR489758	SRP022200
SRR489775	SRP022200
SRR501086	SRP022200
SRR447614	SRP022200
SRR489761	SRP022200
SRR501078	SRP022200
SRR501095	SRP022200
SRR447616	SRP022211
SRR489770	SRP022211
SRR489788	SRP022211
SRR501076	SRP022211
SRR447610	SRP022211
SRR489764	SRP022211
SRR489774	SRP022211
SRR501098	SRP022211
SRR447618	SRP022200
SRR489759	SRP022200
SRR489769	SRP022200
SRR501097	SRP022200
SRR447617	SRP022214
SRR489756	SRP022214
SRR501075	SRP022214
SRR501101	SRP022214
SRR447600	SRP022207
SRR489776	SRP022207
SRR489782	SRP022207
SRR501079	SRP022207
SRR447601	SRP022214
SRR489777	SRP022214
SRR489778	SRP022214
SRR501099	SRP022214
SRR447605	SRP022207
SRR489767	SRP022207
SRR501074	SRP022207
SRR501100	SRP022207
SRR447598	SRP022211
SRR489779	SRP022211
SRR489780	SRP022211
SRR501088	SRP022211
SRR447604	SRP022196
SRR489787	SRP022196
SRR501084	SRP022196
SRR501085	SRP022196
SRR447602	SRP022196
SRR489762	SRP022196
SRR501083	SRP022196
SRR501087	SRP022196
SRR447609	SRP022214
SRR489783	SRP022214
SRR501082	SRP022214
SRR501089	SRP022214
SRR447613	SRP022198
SRR489784	SRP022198
SRR489789	SRP022198
SRR501093	SRP022198
SRR447606	SRP022198
SRR489757	SRP022198
SRR501080	SRP022198
SRR501094	SRP022198
SRR447611	SRP022198
SRR489786	SRP022198
SRR501081	SRP022198
SRR501092	SRP022198
SRR447607	SRP022196
SRR489768	SRP022196
SRR489781	SRP022196
SRR501090	SRP022196
SRR447612	SRP022207
SRR489765	SRP022207
SRR501077	SRP022207
SRR501102	SRP022207
SRR501544	SRP013422
SRR501545	SRP013422
SRR501546	SRP013422
SRR501547	SRP013422
SRR503465	SRP013498
SRR503466	SRP013498
SRR503467	SRP013498
SRR503468	SRP013498
SRR503469	SRP013498
SRR503470	SRP013498
SRR503471	SRP013498
SRR503472	SRP013498
SRR503473	SRP013498
SRR503474	SRP013498
SRR503475	SRP013498
SRR503476	SRP013498
SRR604748	SRP016578
SRR604749	SRP016578
SRR654072	SRP018333
SRR654073	SRP018333
SRR776516	SRP019204
SRR776487	SRP019204
SRR771361	SRP016578
SRR771362	SRP016578
SRR771363	SRP016578
SRR772090	SRP019262
SRR772091	SRP019262
SRR772092	SRP019262
SRR772093	SRP019262
SRR772094	SRP019262
SRR772095	SRP019262
SRR772096	SRP019262
SRR772097	SRP019262
SRR772098	SRP019262
SRR772099	SRP019262
SRR772100	SRP019262
SRR772101	SRP019262
SRR772102	SRP019262
SRR772103	SRP019262
SRR772104	SRP019262
SRR772105	SRP019262
SRR826821	SRP021042
SRR826823	SRP021042
SRR771364	SRP016578
SRR826824	SRP021042
SRR826827	SRP021042
SRR567704	SRP022194
SRR567725	SRP022194
SRR567734	SRP022194
SRR567743	SRP022194
SRR567705	SRP022195
SRR567712	SRP022195
SRR567717	SRP022195
SRR567741	SRP022195
SRR567702	SRP022197
SRR567707	SRP022197
SRR567731	SRP022197
SRR567745	SRP022197
SRR567697	SRP022199
SRR567727	SRP022199
SRR567738	SRP022199
SRR567748	SRP022199
SRR567700	SRP022201
SRR567703	SRP022201
SRR567722	SRP022201
SRR567729	SRP022201
SRR567714	SRP022202
SRR567737	SRP022202
SRR567744	SRP022202
SRR567749	SRP022202
SRR567699	SRP022203
SRR567701	SRP022203
SRR567721	SRP022203
SRR567730	SRP022203
SRR567708	SRP022204
SRR567715	SRP022204
SRR567720	SRP022204
SRR567740	SRP022204
SRR567724	SRP022205
SRR567728	SRP022205
SRR567739	SRP022205
SRR567750	SRP022205
SRR567698	SRP022206
SRR567710	SRP022206
SRR567716	SRP022206
SRR567733	SRP022206
SRR567709	SRP022208
SRR567723	SRP022208
SRR567732	SRP022208
SRR567736	SRP022208
SRR567713	SRP022209
SRR567735	SRP022209
SRR567742	SRP022209
SRR567747	SRP022209
SRR567695	SRP022210
SRR567711	SRP022210
SRR567719	SRP022210
SRR567746	SRP022210
SRR567696	SRP022213
SRR567706	SRP022213
SRR567718	SRP022213
SRR567726	SRP022213
SRR927465	SRP026659
SRR927466	SRP026659
SRR927467	SRP026659
