Run	SRA Study
SRR6900283	SRP136493
SRR6900285	SRP136493
SRR6900286	SRP136493
SRR6900287	SRP136493
SRR6900289	SRP136493
SRR6900290	SRP136493
SRR6900292	SRP136493
SRR6900293	SRP136493
SRR6900295	SRP136493
SRR6900297	SRP136493
SRR6900298	SRP136493
SRR6900300	SRP136493
SRR6900302	SRP136493
SRR6900303	SRP136493
SRR6900282	SRP136493
SRR6900284	SRP136493
SRR6900288	SRP136493
SRR6900291	SRP136493
SRR6900294	SRP136493
SRR6900296	SRP136493
SRR6900299	SRP136493
SRR6900301	SRP136493
SRR6900304	SRP136493
SRR6900305	SRP136493
SRR7411227	SRP151102
SRR7411228	SRP151102
SRR7411229	SRP151102
SRR7411230	SRP151102
SRR7411231	SRP151102
SRR7411232	SRP151102
SRR7411233	SRP151102
SRR7411234	SRP151102
SRR7411235	SRP151102
SRR7411236	SRP151102
SRR7411237	SRP151102
SRR7411238	SRP151102
SRR7411239	SRP151102
SRR7411240	SRP151102
SRR7411241	SRP151102
SRR7411242	SRP151102
SRR7411243	SRP151102
SRR7411244	SRP151102
SRR7411245	SRP151102
SRR7411246	SRP151102
SRR7411247	SRP151102
SRR7411248	SRP151102
SRR8351112	SRP173838
SRR8351113	SRP173838
SRR8351115	SRP173838
SRR8351116	SRP173838
SRR8351117	SRP173838
SRR8351118	SRP173838
SRR8351119	SRP173838
SRR8351130	SRP173838
SRR8351131	SRP173838
SRR8351132	SRP173838
SRR8351133	SRP173838
SRR8351134	SRP173838
SRR8351135	SRP173838
SRR8351136	SRP173838
SRR8351137	SRP173838
SRR8351138	SRP173838
SRR8351139	SRP173838
SRR10059687	SRP220132
SRR10059688	SRP220132
SRR10059690	SRP220132
SRR10059692	SRP220132
SRR10059689	SRP220132
SRR10059691	SRP220132
SRR11511209	SRP255757
SRR11511210	SRP255757
SRR11511211	SRP255757
SRR11511212	SRP255757
SRR11550479	SRP256498
SRR11550480	SRP256498
SRR11550481	SRP256498
SRR11550482	SRP256498
SRR11604845	SRP258292
SRR11604846	SRP258292
SRR11604847	SRP258292
SRR11604848	SRP258292
SRR11604849	SRP258292
SRR11604850	SRP258292
SRR11604851	SRP258292
SRR11604852	SRP258292
SRR11604853	SRP258292
SRR11604854	SRP258292
