Run	SRA_Study
SRR1135418	SRP035574
SRR1582640	SRP047370
SRR1582641	SRP047370
SRR1582642	SRP047370
SRR1582643	SRP047370
SRR1582644	SRP047370
SRR1582645	SRP047370
SRR1582646	SRP047370
SRR1582647	SRP047370
SRR1582648	SRP047370
SRR1582649	SRP047370
SRR1582650	SRP047370
SRR1582651	SRP047370
SRR1582652	SRP047370
SRR1582653	SRP047370
SRR1582654	SRP047370
SRR1582655	SRP047370
SRR1825711	SRP055793
SRR1910441	SRP055793
SRR1910442	SRP055793
SRR1910443	SRP055793
SRR1910444	SRP055793
SRR1910445	SRP055793
SRR2817430	SRP065276
SRR2817431	SRP065276
SRR2817432	SRP065276
SRR2817433	SRP065276
SRR2817434	SRP065276
SRR2817435	SRP065276
SRR2817436	SRP065276
SRR2817437	SRP065276
SRR2817438	SRP065276
SRR2817439	SRP065276
SRR2817440	SRP065276
SRR2817441	SRP065276
SRR3055253	SRP067778
SRR3055254	SRP067778
SRR3114170	SRP068794
SRR3114172	SRP068794
SRR3114173	SRP068794
SRR3114174	SRP068794
SRR4052682	SRP082677
SRR4052683	SRP082677
SRR4052684	SRP082677
SRR4052685	SRP082677
SRR4052686	SRP082677
SRR4052687	SRP082677
SRR5296197	SRP100842
SRR5296198	SRP100842
SRR5296199	SRP100842
SRR5296200	SRP100842
SRR5296201	SRP100842
SRR5296202	SRP100842
SRR5448444	SRP103930
SRR5448445	SRP103930
SRR5448446	SRP103930
SRR5448447	SRP103930
SRR5448448	SRP103930
SRR5448449	SRP103930
SRR5448450	SRP103930
SRR5448451	SRP103930
SRR6659380	SRP131893
SRR6659381	SRP131893
SRR6659382	SRP131893
SRR6659383	SRP131893
SRR6659384	SRP131893
SRR6659385	SRP131893
SRR7132934	SRP144955
SRR7132935	SRP144955
SRR7132936	SRP144955
SRR7132937	SRP144955
SRR7132938	SRP144955
SRR7132939	SRP144955
SRR7132940	SRP144955
SRR7132941	SRP144955
SRR7132942	SRP144955
SRR7132943	SRP144955
SRR7132944	SRP144955
SRR7132945	SRP144955
SRR7132946	SRP144955
SRR7132947	SRP144955
SRR7132948	SRP144955
SRR7132949	SRP144955
SRR7132950	SRP144955
SRR7132951	SRP144955
SRR7757470	SRP158876
SRR7757471	SRP158876
SRR7757472	SRP158876
SRR7757473	SRP158876
SRR7757474	SRP158876
SRR7757475	SRP158876
SRR7939313	SRP162828
SRR7939314	SRP162828
SRR7939315	SRP162828
SRR7939316	SRP162828
SRR7993582	SRP164915
SRR7993583	SRP164915
SRR7993584	SRP164915
SRR7993585	SRP164915
SRR7993586	SRP164915
SRR7993587	SRP164915
SRR7993588	SRP164915
SRR7993589	SRP164915
SRR7993590	SRP164915
SRR7993591	SRP164915
SRR7993592	SRP164915
SRR7993593	SRP164915
SRR7993594	SRP164915
SRR7993595	SRP164915
SRR7993596	SRP164915
SRR7993597	SRP164915
SRR7993598	SRP164915
SRR7993599	SRP164915
SRR7993600	SRP164915
SRR7993601	SRP164915
SRR7993602	SRP164915
SRR7993603	SRP164915
SRR7993604	SRP164915
SRR7993605	SRP164915
SRR9020499	SRP195667
SRR9020500	SRP195667
SRR9020501	SRP195667
SRR9020502	SRP195667
