cglab_19 cglab_20a cglab_30 cglab_31 concat_21 concat_22 concat_23 concat_24 concat_24reseq concat_25 concat_26 concat_27 concat_28 concat_29 SRR1582640 SRR1582642 SRR1582643 SRR1582644 SRR1582645 SRR1582646 SRR1582647 SRR1582648 SRR1582649 SRR1582650 SRR1582651 SRR2817430 SRR2817431 SRR2817432 SRR2817433 SRR2817434 SRR2817435 SRR2817436 SRR2817437 SRR2817438 SRR2817439 SRR2817440 SRR2817441 SRR5296197 SRR5296198 SRR5296199 SRR5296200 SRR5296201 SRR5296202 SRR5448444 SRR5448445 SRR5448446 SRR5448447 SRR5448448 SRR5448449 SRR5448450 SRR5448451
MSTRG.2.1|1002|u|NA|ChrA_C_glabrata_CBS138|cglab 1 0 0 0 0 0 0 0 0 0 0 1 0 0 1 3 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 1 2 1 0 0 1 4 2 0 1 1 5 0 0 0 0 0 0 0 0
CAGL0A00105g|1029 8 4 6 1 0 0 0 4 2 2 9 0 0 0 6 7 3 1 0 17 8 16 5 4 4 4 11 1 0 12 6 14 11 7 13 8 5 6 4 10 0 1 1 0 0 0 1 0 0 0 0
CAGL0A00116g|2139 5 2 1 0 1 0 0 0 0 1 0 0 0 0 2 1 1 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0
MSTRG.4.1|899|u|NA|ChrA_C_glabrata_CBS138|cglab 16 16 56 31 2 1 0 2 6 7 22 11 13 7 90 43 56 36 28 54 51 36 135 129 250 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
MSTRG.5.1|351|u|NA|ChrA_C_glabrata_CBS138|cglab 0 0 5 0 0 0 0 0 0 1 7 0 0 0 12 6 0 0 0 2 0 0 2 2 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
MSTRG.6.1|1246|u|NA|ChrA_C_glabrata_CBS138|cglab 5 6 6 7 1 1 0 1 1 1 1 13 5 3 18 9 5 5 2 18 21 19 7 10 17 0 0 0 9 0 0 1 2 2 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 0
MSTRG.7.1|1767|u|NA|ChrA_C_glabrata_CBS138|cglab 6 5 26 1 2 6 1 7 3 3 9 35 71 15 154 44 15 12 5 54 34 35 11 3 30 1 2 0 5 0 0 3 0 0 2 0 0 1 2 0 0 2 1 0 0 0 0 0 0 0 0
MSTRG.8.1|2484|u|NA|ChrA_C_glabrata_CBS138|cglab 35 28 217 80 18 15 15 36 55 26 59 205 400 102 1017 334 63 34 44 52 52 53 15 28 46 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 2 0 0 0 0 0 0 0 0 0 0
CAGL0A00132g|1346 33 41 462 107 6 2 1 48 60 34 69 252 440 148 884 314 52 24 44 60 51 45 63 32 130 4 4 5 18 6 5 0 4 0 1 2 0 0 1 0 0 1 0 0 0 1 0 0 1 0 1
MSTRG.10.1|2057|x|CAGL0A00132g-T|ChrA_C_glabrata_CBS138|cglab 765 825 3508 1045 932 1908 575 1117 1569 1660 2810 2673 4578 1398 1089 419 644 485 432 664 546 480 613 549 1168 5 0 2 14 14 4 22 22 12 14 21 18 4 10 5 4 4 4 1 2 2 0 1 35 2 4
CAGL0A00154g|910 169 176 1002 284 246 502 177 307 495 409 835 638 1006 294 320 117 202 171 138 187 158 133 300 310 548 0 7 1 10 3 4 9 8 13 5 20 3 4 0 2 0 0 0 2 0 2 1 0 0 1 0
MSTRG.13.1|1667|x|CAGL0A00154g-T|ChrA_C_glabrata_CBS138|cglab 103 108 251 121 39 80 30 76 139 106 353 355 450 99 133 90 61 75 56 165 120 133 254 226 310 5 12 8 13 8 13 16 7 6 18 9 12 13 12 10 12 11 13 1 1 2 1 0 0 3 2
MSTRG.14.1|1622|x|CAGL0A00165g-T|ChrA_C_glabrata_CBS138|cglab 28 60 924 300 13 17 12 115 175 120 322 322 498 134 85 67 23 25 17 62 44 46 79 70 83 0 0 0 5 2 0 7 8 4 6 5 2 1 1 0 0 1 4 0 0 0 0 0 0 0 0
CAGL0A00165g|1105 1311 1274 2990 1311 749 1112 556 444 660 779 1475 1676 2460 788 766 380 537 410 413 530 447 412 610 492 1094 27 34 148 40 42 67 526 575 565 610 624 665 280 344 284 231 235 261 240 148 302 195 97 240 204 89
CAGL0A00187g|2738 2105 2088 6526 2171 1555 1450 1154 1036 1350 1750 2373 1536 2726 1035 1001 745 1415 1218 1163 939 773 760 1818 1308 2621 715 900 1171 1021 1440 920 1932 2261 1968 1722 2283 2178 1071 1286 970 791 961 929 1262 946 1125 998 453 710 1222 942
CAGL0A00209g|2437 12360 12036 6342 2073 11911 10880 6865 2217 3066 3927 6163 3650 5763 2793 4325 3121 5873 4832 5174 4990 4238 3976 4640 3410 6328 43 20 160 17 19 46 226 298 551 204 313 628 8054 8912 7310 6050 7357 6909 5740 3562 4795 4498 2519 2997 5250 2678
MSTRG.18.1|577|x|CAGL0A00231g-T|ChrA_C_glabrata_CBS138|cglab 10 19 9 5 8 16 4 0 1 1 1 3 1 0 3 2 9 7 8 13 9 4 7 5 11 0 0 0 0 0 0 2 1 1 1 1 2 7 3 2 6 4 5 4 4 8 3 6 6 7 3
CAGL0A00231g|2693 2173 2049 1252 484 2473 2085 1478 313 435 436 621 313 541 282 665 502 1574 1272 1271 1494 1239 1212 1871 1378 2388 17 29 58 21 40 54 905 1144 1154 683 804 1220 968 890 959 704 806 820 1518 956 1318 930 359 641 1116 668
CAGL0A00253g|1094 3094 2844 2778 1148 1852 2867 1063 473 592 954 1705 1783 2495 790 1602 1136 1345 1223 1262 2519 2152 2182 2057 1650 2953 51 22 51 26 31 65 419 513 610 520 654 665 1125 1307 1193 989 1101 1070 1460 1065 1374 1112 690 949 1509 965
