Run	SRA_Study
ERR236921	ERP002319
ERR236969	ERP002319
ERR376111	ERP004376
SRR1278968	SRP041812
SRR1278969	SRP041812
SRR1278970	SRP041812
SRR1278971	SRP041812
SRR1278972	SRP041812
SRR1278973	SRP041812
SRR1278974	SRP041812
SRR1278975	SRP041812
SRR1278976	SRP041812
SRR1278977	SRP041812
SRR1278978	SRP041812
SRR1278979	SRP041812
SRR1278980	SRP041812
SRR1278981	SRP041812
SRR1278982	SRP041812
SRR1278983	SRP041812
SRR1278984	SRP041812
SRR1278985	SRP041812
SRR1278986	SRP041812
SRR1278987	SRP041812
SRR1278988	SRP041812
SRR1278989	SRP041812
SRR1278990	SRP041812
SRR1278991	SRP041812
SRR352253	SRP008827
SRR352254	SRP008827
SRR352255	SRP008827
SRR352256	SRP008827
SRR352257	SRP008827
SRR352258	SRP008827
SRR352259	SRP008827
SRR352260	SRP008827
ERR376110	ERP004376
ERR376109	ERP004376
ERR376108	ERP004376
SRR352261	SRP008827
SRR352262	SRP008827
SRR352263	SRP008827
SRR352264	SRP008827
SRR352265	SRP008827
SRR352266	SRP008827
SRR352267	SRP008827
SRR352268	SRP008827
SRR352269	SRP008827
SRR352270	SRP008827
SRR352271	SRP008827
SRR352272	SRP008827
SRR352273	SRP008827
SRR352274	SRP008827
SRR352275	SRP008827
SRR352276	SRP008827
SRR352277	SRP008827
SRR352278	SRP008827
SRR3721291	SRP077251
SRR3721292	SRP077251
SRR575493	SRP015840
SRR575494	SRP015840
SRR575495	SRP015840
SRR575496	SRP015840
SRR575497	SRP015840
SRR575498	SRP015840
SRR575499	SRP015840
SRR575500	SRP015840
SRR6458358	SRP128702
SRR6458359	SRP128702
SRR6458360	SRP128702
SRR6458361	SRP128702
SRR6458362	SRP128702
SRR6458363	SRP128702
SRR6458364	SRP128702
SRR6458365	SRP128702
SRR6458366	SRP128702
SRR6458367	SRP128702
SRR6458368	SRP128702
SRR6458369	SRP128702
SRR6458370	SRP128702
SRR6458371	SRP128702
SRR6458372	SRP128702
SRR6458373	SRP128702
SRR6458374	SRP128702
SRR6458375	SRP128702
SRR6458376	SRP128702
SRR6458377	SRP128702
SRR6458378	SRP128702
SRR6458379	SRP128702
SRR6458380	SRP128702
SRR6458381	SRP128702
SRR7132972	SRP144957
SRR7132973	SRP144957
SRR7132974	SRP144957
SRR7132975	SRP144957
SRR7132976	SRP144957
SRR7132977	SRP144957
SRR7132978	SRP144957
SRR7132979	SRP144957
SRR7132980	SRP144957
SRR7132981	SRP144957
SRR7132982	SRP144957
SRR7132983	SRP144957
SRR7132984	SRP144957
SRR7132985	SRP144957
SRR7132986	SRP144957
SRR7132987	SRP144957
SRR7132988	SRP144957
SRR7132989	SRP144957
SRR7464836	SRP151798
SRR7464837	SRP151798
SRR7464838	SRP151798
SRR7464839	SRP151798
SRR7464840	SRP151798
SRR7464841	SRP151798
SRR7464842	SRP151798
SRR7464843	SRP151798
SRR7464844	SRP151798
SRR7868063	SRP161992
SRR7868064	SRP161992
SRR7868065	SRP161992
SRR7868066	SRP161992
SRR7868067	SRP161992
SRR7868068	SRP161992
SRR7868069	SRP161992
SRR7868070	SRP161992
SRR7868071	SRP161992
SRR7868072	SRP161992
SRR7868073	SRP161992
SRR7868074	SRP161992
