AssemblyName	AvgSpotLen	BioProject	BioSample	Center_Name	DATASTORE_provider	DATASTORE_region	Experiment	InsertSize	Instrument	LibraryLayout	LibrarySelection	Library_Name	LoadDate	MBases	MBytes	Organism	Platform	ReleaseDate	Run	SRA_Sample	SRA_Study	Sample_Name	genotype	genotype_variation	growth_phase	source_name	strain	time_point	Assay_Type	Consent	DATASTORE_filetype	LibrarySource
	152	PRJEB1583	SAMEA2056627	CNAG	ncbi		ERX211452	150	Illumina HiSeq 2000	PAIRED	cDNA	YA4	2016-05-01	1692	1343	Candida parapsilosis	ILLUMINA	2016-05-01	ERR236921	ERS221077	ERP002319	SAMEA2056627							RNA-Seq	public	sra	TRANSCRIPTOMIC
	152	PRJEB1583	SAMEA2055412	CNAG	ncbi		ERX211494	150	Illumina HiSeq 2000	PAIRED	cDNA	YB1	2016-05-01	3546	2557	Candida parapsilosis	ILLUMINA	2016-05-01	ERR236969	ERS221115	ERP002319	SAMEA2055412							RNA-Seq	public	sra	TRANSCRIPTOMIC
assembly	46	PRJEB5019	SAMEA2266412	CRG	ncbi		ERX348488	0	Illumina Genome Analyzer IIx	SINGLE	RT-PCR	GA1_0h.single	2014-10-07	863	215	Candida parapsilosis	ILLUMINA	2013-12-13	ERR376111	ERS373815	ERP004376	SAMEA2266412							RNA-Seq	public	sra	TRANSCRIPTOMIC
	180	PRJNA246482	SAMN02767882	GEO	sra-sos	sra-sos.public	SRX538626	0	Illumina HiSeq 2000	PAIRED	cDNA		2015-12-17	2355	1637	Candida parapsilosis	ILLUMINA	2015-07-22	SRR1278968	SRS604544	SRP041812	GSM1382947		wild type (CLIB214 strain)	log phase	WT planktonic			RNA-Seq	public	sra	TRANSCRIPTOMIC
	180	PRJNA246482	SAMN02767886	GEO	sra-sos	sra-sos.public	SRX538627	0	Illumina HiSeq 2000	PAIRED	cDNA		2015-12-17	2357	1633	Candida parapsilosis	ILLUMINA	2015-07-22	SRR1278969	SRS604545	SRP041812	GSM1382948		wild type (CLIB214 strain)	log phase	WT planktonic			RNA-Seq	public	sra	TRANSCRIPTOMIC
	180	PRJNA246482	SAMN02767883	GEO	sra-sos	sra-sos.public	SRX538628	0	Illumina HiSeq 2000	PAIRED	cDNA		2015-12-17	2309	1627	Candida parapsilosis	ILLUMINA	2015-07-22	SRR1278970	SRS604546	SRP041812	GSM1382949		wild type (CLIB214 strain)	log phase	WT planktonic			RNA-Seq	public	sra	TRANSCRIPTOMIC
	180	PRJNA246482	SAMN02767881	GEO	sra-sos	sra-sos.public	SRX538629	0	Illumina HiSeq 2000	PAIRED	cDNA		2015-12-17	2257	1464	Candida parapsilosis	ILLUMINA	2015-07-22	SRR1278971	SRS604547	SRP041812	GSM1382950		wild type (CLIB214 strain)	48h biofilm	WT biofilm			RNA-Seq	public	sra	TRANSCRIPTOMIC
	180	PRJNA246482	SAMN02767885	GEO	sra-sos	sra-sos.public	SRX538630	0	Illumina HiSeq 2000	PAIRED	cDNA		2015-12-17	2347	1525	Candida parapsilosis	ILLUMINA	2015-07-22	SRR1278972	SRS604548	SRP041812	GSM1382951		wild type (CLIB214 strain)	48h biofilm	WT biofilm			RNA-Seq	public	sra	TRANSCRIPTOMIC
	180	PRJNA246482	SAMN02767890	GEO	sra-sos	sra-sos.public	SRX538631	0	Illumina HiSeq 2000	PAIRED	cDNA		2015-12-17	2294	1493	Candida parapsilosis	ILLUMINA	2015-07-22	SRR1278973	SRS604549	SRP041812	GSM1382952		wild type (CLIB214 strain)	48h biofilm	WT biofilm			RNA-Seq	public	sra	TRANSCRIPTOMIC
	180	PRJNA246482	SAMN02767894	GEO	sra-sos	sra-sos.public	SRX538632	0	Illumina HiSeq 2000	PAIRED	cDNA		2015-12-17	2344	1596	Candida parapsilosis	ILLUMINA	2015-07-22	SRR1278974	SRS604550	SRP041812	GSM1382953		ace2-/-	48h biofilm	ACE2			RNA-Seq	public	sra	TRANSCRIPTOMIC
