Run	SRA_Study
SRR1162690	SRP036650
SRR1162693	SRP036651
SRR1162703	SRP036658
SRR1162712	SRP036667
SRR1162714	SRP036651
SRR1162729	SRP036677
SRR1162735	SRP036680
SRR1162742	SRP036650
SRR1162757	SRP036658
SRR1162761	SRP036677
SRR1162767	SRP036667
SRR1166706	SRP036680
SRR1169266	SRP036658
SRR1169278	SRP036650
SRR1169297	SRP036677
SRR1169316	SRP036667
SRR1169392	SRP036680
SRR1169397	SRP036651
SRR2486310	SRP064010
SRR2486311	SRP064010
SRR3535382	SRP075270
SRR3535383	SRP075270
SRR3535384	SRP075270
SRR4116556	SRP083839
SRR4158212	SRP099169
SRR4158216	SRP099169
SRR4158217	SRP099169
SRR4158219	SRP099169
SRR4158220	SRP099169
SRR4158221	SRP099169
SRR5242020	SRP099169
SRR5242273	SRP099169
SRR5242148	SRP099169
SRR5877921	SRP113764
SRR5877922	SRP113764
SRR5877923	SRP113764
SRR5877924	SRP113764
SRR5242109	SRP099169
SRR5242112	SRP099169
SRR5242274	SRP099169
SRR5877925	SRP113764
SRR5877926	SRP113764
SRR7343317	SRP150532
SRR7343316	SRP150532
SRR7343315	SRP150532
SRR7343314	SRP150532
