orf19.6103	CAWG_01357	CD36_00100	CTRG1_04282	CTRG_04282	---	---	---	---	---	DEHA2A13332g	PICST_28175	CANTEDRAFT_114386	SPAPADRAFT_53067	PGUG_01091	CLUG_03452	B9J08_001269	YER046W
orf19.3293	CAWG_01269	CD36_00990	CTRG1_04406	CTRG_04406	CPAR2_110100	CMET_109	CORT1B11210	CORT0B11210	LELG_01381	DEHA2B00968g	PICST_39084	CANTEDRAFT_108493	SPAPADRAFT_132798	PGUG_00050	CLUG_00022	B9J08_002971	YDL015C
orf19.997	CAWG_00380	CD36_09900	CTRG1_03305	CTRG_03305	---	---	---	---	---	DEHA2B14982g	PICST_30847	CANTEDRAFT_114502	SPAPADRAFT_61426	PGUG_02352	CLUG_00229	B9J08_003557	---
---	---	---	---	---	---	---	---	---	---	DEHA2F09592g	---	---	---	---	---	---	YKL222C
---	---	---	---	---	---	---	---	---	---	DEHA2F10010g	---	CANTEDRAFT_123844	---	PGUG_04685	CLUG_00679	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F10472g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F10604g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F10802g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F10901g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F10956g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F11000g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F11484g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F11748g	---	---	---	---	---	---	---
orf19.998	CAWG_00379	CD36_09910	CTRG1_03306	CTRG_03306	CPAR2_804080	CMET_4729	CORT1A04220	CORT0A04220	LELG_00322	DEHA2B15004g	PICST_67344	---	SPAPADRAFT_50910	PGUG_02351	CLUG_00230	B9J08_003556	YPR171W
---	---	---	---	---	---	---	---	---	---	DEHA2F11770g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F11946g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F11968g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F12166g	PICST_47034	---	---	PGUG_00887	CLUG_01948	B9J08_004200	YKL096W
---	---	---	---	---	---	---	---	---	---	DEHA2F12661g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F12672g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F12782g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F12892g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F13508g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F13706g	---	---	---	---	---	---	---
orf19.999	CAWG_00378	CD36_09920	---	---	---	---	---	---	---	---	---	---	SPAPADRAFT_139122	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F14124g	PICST_61034	CANTEDRAFT_91937	---	PGUG_00973	CLUG_05565	B9J08_002557	---
---	---	---	---	---	---	---	---	---	---	DEHA2F14256g	---	---	---	---	---	---	---
---	---	---	---	---	---	---	---	---	---	DEHA2F14410g	---	---	---	---	---	---	---
