# File name: C_albicans_SC5314_C_auris_B8441_orthologs.txt
# Organism: Candida albicans SC5314
# Genome version: A22-s07-m01-r90
# Date created: Fri Aug 23 04:39:02 2019
# Created by: The Candida Genome Database (http://www.candidagenome.org/)
# Contact Email: candida-curator AT lists DOT stanford DOT edu
# Funding: NIDCR at US NIH, grant number 1-R01-DE015873-01
#
C2_09060C_A	ASN1	CAL0000188342	B9J08_002429		CAL0000216591
C1_05960W_A	PGA45	CAL0000189107	B9J08_001830		CAL0000216593
C6_01920C_A		CAL0000175209	B9J08_005500		CAL0000216419
CR_04920W_A		CAL0000196262	B9J08_001964		CAL0000216499
CR_10500C_A		CAL0000175098	B9J08_001244		CAL0000216623
C1_06900C_A	MMD1	CAL0000190397	B9J08_003394		CAL0000216125
CR_08280W_A		CAL0000194497	B9J08_000583		CAL0000216181
C4_04220W_A	DUO1	CAL0000184353	B9J08_005202		CAL0000216583
C4_02110W_A		CAL0000185466	B9J08_001398		CAL0000216475
C3_00640W_A		CAL0000199689	B9J08_002863		CAL0000216315
CR_03610C_A	VTC3	CAL0000199503	B9J08_004847		CAL0000216323
C2_06340W_A	EFH1	CAL0000182054	B9J08_000079		CAL0000216415
C1_02110C_A	HGT2	CAL0000184480	B9J08_005568		CAL0000216495
C1_13930W_A	SSK1	CAL0000190567	B9J08_005450		CAL0000216885
C1_10740C_A	ASR1	CAL0000187233	B9J08_001932		CAL0000216889
CR_03600C_A		CAL0000177111	B9J08_004846		CAL0000216893
C1_12520W_A	GSG1	CAL0000178502	B9J08_003470		CAL0000216805
C1_09640W_A	ADE12	CAL0000175348	B9J08_004225		CAL0000216897
C6_00310W_A		CAL0000187118	B9J08_001676		CAL0000216909
C1_09430W_A		CAL0000193886	B9J08_005522		CAL0000216913
CR_00050W_A	INO2	CAL0000199279	B9J08_002613		CAL0000216917
C2_10530C_A	KIN3	CAL0000189018	B9J08_002993		CAL0000216931
C5_05330C_A	RER2	CAL0000188102	B9J08_005248		CAL0000216935
C3_04650W_A		CAL0000193326	B9J08_003753		CAL0000216939
C3_03310C_A		CAL0000195855	B9J08_000193		CAL0000216749
CR_02210W_A		CAL0000189750	B9J08_001131		CAL0000216857
C3_07480W_A		CAL0000186688	B9J08_003574		CAL0000216709
C1_11440C_A	GIN1	CAL0000186065	B9J08_001469		CAL0000216871
C4_04330C_A		CAL0000176814	B9J08_002730		CAL0000216637
C2_04200W_A	TBF1	CAL0000179754	B9J08_000862		CAL0000216761
C5_05040W_A		CAL0000192151	B9J08_004330		CAL0000216643
C2_02710C_A		CAL0000178916	B9J08_003082		CAL0000216773
C7_00070C_A		CAL0000190039	B9J08_001346		CAL0000216777
C7_04270C_A	UFE1	CAL0000187209	B9J08_002702		CAL0000216881
C4_03750C_A		CAL0000182981	B9J08_000328		CAL0000216665
CR_07530C_A	ECM22	CAL0000185536	B9J08_000096		CAL0000216705
CR_05610C_A	SRR1	CAL0000201009	B9J08_005114		CAL0000216821
C1_11380W_A	NEP1	CAL0000197320	B9J08_005251		CAL0000216969
C1_08810C_A	MSS116	CAL0000195117	B9J08_002301		CAL0000216971
C4_05940W_A	PPS1	CAL0000196786	B9J08_000857		CAL0000216635
C1_07010W_A		CAL0000182411	B9J08_005439		CAL0000217003
C2_03770C_A	STE11	CAL0000193264	B9J08_005331		CAL0000217013
C4_05350W_A		CAL0000194175	B9J08_003208		CAL0000218731
C1_05350W_A	YPT53	CAL0000194609	B9J08_004524		CAL0000218773
C3_02580C_A		CAL0000195261	B9J08_005050		CAL0000218757
C3_07130W_A		CAL0000176659	B9J08_004759		CAL0000217465
CR_07670W_A		CAL0000194822	B9J08_000886		CAL0000217403
C1_11040W_A	RPL29	CAL0000175799	B9J08_005152		CAL0000217253
C5_04650C_A	MSM1	CAL0000183257	B9J08_004400		CAL0000217259
C1_00770C_A	ROT1	CAL0000184365	B9J08_004947		CAL0000217471
C3_05770C_A	SAM50	CAL0000187404	B9J08_002097		CAL0000217267
C6_00160W_A	PGA48	CAL0000178188	B9J08_002159		CAL0000217479
C3_03820C_A		CAL0000185572	B9J08_003815		CAL0000217331
CR_03930C_A		CAL0000187253	B9J08_001835		CAL0000217415
CR_04270C_A		CAL0000179760	B9J08_005485		CAL0000217423
C6_03340C_A	GLC3	CAL0000188820	B9J08_002986		CAL0000217351
