calb	ctrop	cpar	cglab	myID
C4_00400W_A	CTRG_00001	CPAR2_402840	CAGL0M13233g	myID1
C4_00420C_A	CTRG_00003	CPAR2_402860	CAGL0L08074g	myID2
C4_00430W_A	CTRG_00004	CPAR2_402870	CAGL0J06028g	myID3
C6_04060W_A	CTRG_00005	CPAR2_800560	CAGL0H02651g	myID4
C4_00340W_A	CTRG_00006	CPAR2_402780	CAGL0J10692g	myID5
C4_00330C_A	CTRG_00007	CPAR2_402770	CAGL0H07023g	myID6
C4_00320C_A	CTRG_00008	CPAR2_402760	CAGL0M08690g	myID7
C4_00310C_A	CTRG_00009	CPAR2_402750	CAGL0K11231g	myID8
C4_00300C_A	CTRG_00010	CPAR2_402740	CAGL0J09548g	myID9
C4_00280W_A	CTRG_00012	CPAR2_402230	CAGL0I08217g	myID10
C4_00160C_A	CTRG_00013	CPAR2_402700	CAGL0M00880g	myID11
C4_00170W_A	CTRG_00014	CPAR2_402690	CAGL0M00902g	myID12
C4_00180W_A	CTRG_00015	CPAR2_110460	CAGL0M00748g	myID13
C4_00200C_A	CTRG_00016	CPAR2_402160	CAGL0D06402g	myID14
C4_02120W_A	CTRG_00018	CPAR2_400620	CAGL0G00176g	myID15
C4_02130W_A	CTRG_00019	CPAR2_400610	CAGL0L05280g	myID16
C4_02140C_A	CTRG_00020	CPAR2_400600	CAGL0F06693g	myID17
C4_02150C_A	CTRG_00021	CPAR2_400590	CAGL0J07282g	myID18
C4_02160C_A	CTRG_00022	CPAR2_403320	CAGL0J07018g	myID19
C4_02170C_A	CTRG_00023	CPAR2_403310	CAGL0L10318g	myID20
C4_01280C_A	CTRG_00025	CPAR2_206060	CAGL0F02475g	myID21
C4_01270W_A	CTRG_00026	CPAR2_302160	CAGL0H05643g	myID22
C4_01260W_A	CTRG_00027	CPAR2_302230	CAGL0H05621g	myID23
C4_01250W_A	CTRG_00028	CPAR2_403930	CAGL0K02981g	myID24
C2_04880C_A	CTRG_00032	CPAR2_401420	CAGL0A03014g	myID25
C4_01120C_A	CTRG_00033	CPAR2_401410	CAGL0C04939g	myID26
C4_01130C_A	CTRG_00034	CPAR2_401400	CAGL0J11814g	myID27
C4_01190W_A	CTRG_00036	CPAR2_400410	CAGL0K03003g	myID28
C4_01100C_A	CTRG_00040	CPAR2_101860	CAGL0C00539g	myID29
C4_01060W_A	CTRG_00043	CPAR2_401440	CAGL0G02497g	myID30
C4_01020C_A	CTRG_00045	CPAR2_401340	CAGL0H06611g	myID31
C4_01080W_A	CTRG_00047	CPAR2_400060	CAGL0L10120g	myID32
C4_00970C_A	CTRG_00055	CPAR2_400040	CAGL0M11616g	myID33
C4_00950C_A	CTRG_00057	CPAR2_401090	CAGL0M13981g	myID34
C4_00880W_A	CTRG_00060	CPAR2_400010	CAGL0L11858g	myID35
C4_00890W_A	CTRG_00061	CPAR2_400020	CAGL0M11484g	myID36
C4_00830W_A	CTRG_00064	CPAR2_401110	CAGL0H08063g	myID37
C4_00820W_A	CTRG_00066	CPAR2_401120	CAGL0F07711g	myID38
C4_00810C_A	CTRG_00067	CPAR2_401130	CAGL0L07392g	myID39
C4_00800W_A	CTRG_00068	CPAR2_401140	CAGL0L07414g	myID40
C4_00790C_A	CTRG_00069	CPAR2_401150	CAGL0F07733g	myID41
C4_00780C_A	CTRG_00070	CPAR2_401160	CAGL0K01001g	myID42
C4_00770C_A	CTRG_00071	CPAR2_401170	CAGL0B03927g	myID43
C4_00740W_A	CTRG_00075	CPAR2_402600	CAGL0M06039g	myID44
C4_00500W_A	CTRG_00080	CPAR2_402560	CAGL0F07821g	myID45
C4_00510C_A	CTRG_00081	CPAR2_402550	CAGL0J00957g	myID46
C4_00520W_A	CTRG_00082	CPAR2_402540	CAGL0J00935g	myID47
C4_00540C_A	CTRG_00084	CPAR2_402480	CAGL0M00506g	myID48
C4_00560C_A	CTRG_00085	CPAR2_402500	CAGL0D05698g	myID49
C4_00570C_A	CTRG_00086	CPAR2_402510	CAGL0B04015g	myID50
C4_00580W_A	CTRG_00087	CPAR2_402520	CAGL0K00935g	myID51
C4_00590C_A	CTRG_00088	CPAR2_402530	CAGL0I02156g	myID52
C4_00470C_A	CTRG_00091	CPAR2_402460	CAGL0J04796g	myID53
C4_00620C_A	CTRG_00092	CPAR2_402450	CAGL0K10758g	myID54
C4_00610W_A	CTRG_00093	CPAR2_402440	CAGL0J04774g	myID55
C4_00630C_A	CTRG_00101	CPAR2_402360	CAGL0I00616g	myID56
C4_00650W_A	CTRG_00103	CPAR2_402380	CAGL0C01243g	myID57
C4_00660W_A	CTRG_00104	CPAR2_402390	CAGL0L00451g	myID58
C4_00670W_A	CTRG_00105	CPAR2_402400	CAGL0L03476g	myID59
C4_00680W_A	CTRG_00106	CPAR2_402410	CAGL0J08712g	myID60
C4_00090W_A	CTRG_00112	CPAR2_402260	CAGL0E01595g	myID61
C4_00070C_A	CTRG_00114	CPAR2_402280	CAGL0K08976g	myID62
C4_00060W_A	CTRG_00115	CPAR2_402290	CAGL0L11748g	myID63
C4_00040W_A	CTRG_00117	CPAR2_402310	CAGL0M04433g	myID64
C4_00030C_A	CTRG_00118	CPAR2_402320	CAGL0J07216g	myID65
C4_00020W_A	CTRG_00119	CPAR2_402330	CAGL0M00660g	myID66
C2_06620W_A	CTRG_00120	CPAR2_402340	CAGL0L11418g	myID67
C4_00460C_A	CTRG_00121	CPAR2_402350	CAGL0G09493g	myID68
C4_00140C_A	CTRG_00122	CPAR2_402720	CAGL0B00902g	myID69
C4_00150C_A	CTRG_00123	CPAR2_402710	CAGL0K11209g	myID70
C4_00270W_A	CTRG_00125	CPAR2_402220	CAGL0H00506g	myID71
C4_00260W_A	CTRG_00126	CPAR2_402210	CAGL0H00528g	myID72
C4_00240C_A	CTRG_00127	CPAR2_402200	CAGL0I08283g	myID73
C4_00220C_A	CTRG_00129	CPAR2_402180	CAGL0L06908g	myID74
C4_00210W_A	CTRG_00130	CPAR2_402170	CAGL0L06996g	myID75
C4_02100C_A	CTRG_00131	CPAR2_400660	CAGL0B03905g	myID76
C4_02090C_A	CTRG_00132	CPAR2_400650	CAGL0G09317g	myID77
C4_02540W_A	CTRG_00135	CPAR2_400190	CAGL0L01903g	myID78
C4_02560C_A	CTRG_00137	CPAR2_400210	CAGL0F05357g	myID79
C4_02520C_A	CTRG_00139	CPAR2_400170	CAGL0L06446g	myID80
C4_02500C_A	CTRG_00141	CPAR2_401470	CAGL0E04884g	myID81
C4_02410C_A	CTRG_00142	CPAR2_403210	CAGL0M11704g	myID82
C4_02480C_A	CTRG_00144	CPAR2_403300	CAGL0H09306g	myID83
C4_02470C_A	CTRG_00145	CPAR2_403290	CAGL0F04477g	myID84
C4_02460W_A	CTRG_00146	CPAR2_403280	CAGL0F04455g	myID85
C4_02430W_A	CTRG_00150	CPAR2_403250	CAGL0H01463g	myID86
C4_02420C_A	CTRG_00151	CPAR2_403240	CAGL0H01485g	myID87
C4_02400C_A	CTRG_00153	CPAR2_403200	CAGL0G06864g	myID88
C4_02360W_A	CTRG_00156	CPAR2_500360	CAGL0E05148g	myID89
C4_02340W_A	CTRG_00161	CPAR2_500350	CAGL0G06006g	myID90
C4_02310W_A	CTRG_00163	CPAR2_401660	CAGL0J06996g	myID91
C4_02300W_A	CTRG_00164	CPAR2_401650	CAGL0J06974g	myID92
C4_02290W_A	CTRG_00165	CPAR2_401640	CAGL0I10923g	myID93
C4_02280W_A	CTRG_00166	CPAR2_401630	CAGL0J06952g	myID94
C4_02270C_A	CTRG_00167	CPAR2_401620	CAGL0I10967g	myID95
