nodeName	altName	nodeAttr[nodesPresent, ]
CTRG_05783|2034	NA	coral1
CTRG_05836|768	NA	coral1
CTRG_05938|1245	NA	coral1
CTRG_05964|1038	NA	coral1
CTRG_05976|2379	NA	coral1
CTRG_05982|843	NA	coral1
CTRG_05988|3003	NA	coral1
CTRG_06020|2760	NA	coral1
CTRG_06031|828	NA	coral1
CTRG_06060|534	NA	coral1
CTRG_06099|1728	NA	coral1
CTRG_06101|1728	NA	coral1
CTRG_06104|2115	NA	coral1
CTRG_06148|573	NA	coral1
CTRG_06191|1473	NA	coral1
CTRG_06199|2070	NA	coral1
CTRG_06227|1668	NA	coral1
MSTRG.689.1|313|u|NA|Supercontig_3.13_C_tropicalis_MYA-3404|ctrop	NA	coral1
CTRG_06228|987	NA	coral1
CTRG_06244|1485	NA	coral1
CTRG_00021|3402	NA	coral1
CTRG_00045|3732	NA	coral1
CTRG_00063|2979	NA	coral1
CTRG_00072|1890	NA	coral1
MSTRG.827.1|1135|u|NA|Supercontig_3.1_C_tropicalis_MYA-3404|ctrop	NA	coral1
MSTRG.829.1|960|u|NA|Supercontig_3.1_C_tropicalis_MYA-3404|ctrop	NA	coral1
CTRG_00099|852	NA	coral1
CTRG_00123|1824	NA	coral1
CTRG_00135|2628	NA	coral1
CTRG_00170|564	NA	coral1
CTRG_00171|858	NA	coral1
CTRG_00189|648	NA	coral1
CTRG_00198|966	NA	coral1
CTRG_00201|1449	NA	coral1
CTRG_00207|2310	NA	coral1
CTRG_00213|543	NA	coral1
MSTRG.1104.1|901|u|NA|Supercontig_3.1_C_tropicalis_MYA-3404|ctrop	NA	coral1
CTRG_00279|1032	NA	coral1
MSTRG.1140.1|290|u|NA|Supercontig_3.1_C_tropicalis_MYA-3404|ctrop	NA	coral1
CTRG_00308|2016	NA	coral1
CTRG_00315|1383	NA	coral1
CTRG_00316|876	NA	coral1
CTRG_00326|1383	NA	coral1
CTRG_00352|957	NA	coral1
