baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
MSTRG.6.1|797|x|C1_00020C_A-T|Ca22chr1A_C_albicans_SC5314|calb	25.8842800237121	-2.71161125673294	0.634131608338677	-4.27610171307644	1.90194353552468e-05	5.57066466487387e-05
MSTRG.12.1|233|u|NA|Ca22chr1A_C_albicans_SC5314|calb	12.9992276091872	-1.75532303209073	0.613689594493436	-2.86027830330029	0.00423269380435317	0.00911130612420335
MSTRG.47.1|1097|x|C1_00220W_A-T|Ca22chr1A_C_albicans_SC5314|calb	22.2832780938476	-1.39598762042342	0.443343580078406	-3.14877147916867	0.00163958353482642	0.00377795800175581
MSTRG.64.1|1513|x|C1_00350C_A-T|Ca22chr1A_C_albicans_SC5314|calb	11.0008369111719	1.8096909350924	0.571976670038286	3.16392438693569	0.00155657229838352	0.00360101154366352
MSTRG.123.1|262|x|C1_00640C_A-T|Ca22chr1A_C_albicans_SC5314|calb	1.54170942367701	-4.81818673070112	1.63400652833704	-2.94869490858442	0.00319118839700131	0.0070340983680381
MSTRG.150.1|876|x|C1_00750C_A-T|Ca22chr1A_C_albicans_SC5314|calb	3.16892539575297	-4.47960746812535	1.45408601264645	-3.0807032246823	0.00206512371883693	0.0046922106705612
MSTRG.159.1|1441|x|C1_00780C_A-T|Ca22chr1A_C_albicans_SC5314|calb	22.3940851608158	-1.44331277250099	0.380658742541594	-3.79161861058079	0.000149668637581338	0.000396095176377851
MSTRG.164.1|1490|u|NA|Ca22chr1A_C_albicans_SC5314|calb	7.35810702784271	2.55080935141162	0.706739365817367	3.60926456737205	0.000307066315780102	0.00078156813253832
MSTRG.173.1|3062|x|C1_00790W_A-T|Ca22chr1A_C_albicans_SC5314|calb	176.304683272564	1.62193349934739	0.293058447496316	5.53450519240801	3.12108185798482e-08	1.18977119806854e-07
MSTRG.230.1|610|x|C1_01010W_A-T|Ca22chr1A_C_albicans_SC5314|calb	3.13263815924095	-3.59729117123636	1.20821530821255	-2.97735937194691	0.00290742991392991	0.00644543373530288
MSTRG.295.1|204|x|C1_01330C_A-T|Ca22chr1A_C_albicans_SC5314|calb	7.42522214208919	-2.7260537272239	0.839390656202267	-3.24765793743481	0.00116359065500369	0.00274898885671108
MSTRG.360.1|312|u|NA|Ca22chr1A_C_albicans_SC5314|calb	3.99623532263292	3.11497593216901	0.906030365859578	3.43804804954163	0.000585923719228888	0.00144190025337649
MSTRG.367.1|338|x|C1_01570C_A-T|Ca22chr1A_C_albicans_SC5314|calb	8.26461423388043	-3.22960523412947	0.944213081513571	-3.42041992147834	0.000625245405634663	0.00153377823398751
MSTRG.437.1|591|x|C1_01880C_A-T|Ca22chr1A_C_albicans_SC5314|calb	3.98699217531369	3.25661621364471	1.09792199602758	2.96616355754558	0.00301540081104922	0.00666602422000094
MSTRG.570.1|414|x|C1_02460W_A-T|Ca22chr1A_C_albicans_SC5314|calb	2.94495855117736	-4.87588928083884	1.43174940984382	-3.40554656234901	0.00066031752181389	0.00161159941809132
MSTRG.576.1|210|x|C1_02480W_A-T|Ca22chr1A_C_albicans_SC5314|calb	1.89976513015273	-6.22358284047151	1.63636580120419	-3.80329559313181	0.000142783813695041	0.000379000537795616
MSTRG.589.1|727|u|NA|Ca22chr1A_C_albicans_SC5314|calb	2.39675936596916	4.31246889234424	1.19951422003059	3.59517946542915	0.000324168032155733	0.000822025395313235
