1 2 A0C1 A0C1reseq A0C2 A0C2reseq e4 e5 e6 3 3reseq 4 5a 6 7 8 9 10 11 12 13 14 15 16 59 e7 e8 e9 17 18 A24C1 A24C1reseq A24C2 A24C2reseq e1 e2 e3
MSTRG.1.1|3728|u|NA|Ca22chr1A_C_albicans_SC5314|calb 107 730 1762 5886 2496 5621 4107 880 623 3924 5426 3330 1019 984 1398 1295 4577 4062 635 1205 927 1795 905 1396 1353 85 67 112 834 521 966 1055 1864 815 257 1667 1654
MSTRG.3.1|1309|x|C1_00010W_A-T|Ca22chr1A_C_albicans_SC5314|calb 30 270 1315 4656 2497 5830 2480 467 530 550 794 518 102 285 322 361 384 207 173 429 276 663 215 458 1248 76 75 94 236 172 820 897 1395 649 271 1939 2824
C1_00010W_A|339 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
C1_00020C_A|312 33 400 1756 5755 3703 8279 5697 1281 1106 1311 1732 871 133 572 1136 1157 963 732 1428 2200 1736 2857 1241 1636 3593 369 329 505 1311 822 3792 4076 6597 3024 2332 10039 17462
MSTRG.6.1|797|x|C1_00020C_A-T|Ca22chr1A_C_albicans_SC5314|calb 2 4 20 47 96 185 143 29 16 10 23 14 4 10 29 23 15 14 13 20 19 25 5 16 2 5 7 5 12 10 57 68 60 29 38 154 495
MSTRG.9.1|765|u|NA|Ca22chr1A_C_albicans_SC5314|calb 0 0 6 10 4 9 4 0 2 1 0 4 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
C1_00030C_A|312 0 11 24 127 95 208 217 57 50 32 57 28 4 19 24 42 40 19 24 29 21 50 30 42 223 13 7 14 47 12 93 79 149 55 65 423 554
MSTRG.11.1|345|x|C1_00030C_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 0 2 0 3 5 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 3 0 2 1 1 1 0 10 1
MSTRG.12.1|233|u|NA|Ca22chr1A_C_albicans_SC5314|calb 0 5 14 38 40 94 56 3 4 10 13 6 1 1 12 10 7 6 11 12 5 19 8 9 31 0 0 3 6 3 26 33 57 22 9 48 69
MSTRG.13.1|1562|x|C1_00040W_A-T|Ca22chr1A_C_albicans_SC5314|calb 3 20 133 384 171 427 1786 351 329 399 617 356 168 178 127 168 461 479 79 106 108 65 39 45 45 30 39 32 29 11 46 49 94 53 198 740 1392
C1_00040W_A|768 12 68 389 1470 776 1669 7342 1431 1257 1531 2202 1154 398 451 937 991 2581 1595 316 443 391 459 262 438 1969 35 34 52 192 87 629 633 872 393 201 1298 2190
MSTRG.15.1|331|x|C1_00040W_A-T|Ca22chr1A_C_albicans_SC5314|calb 0 0 1 1 2 3 15 2 2 1 4 1 1 0 2 1 5 1 0 0 0 0 2 0 0 1 0 0 1 0 1 0 0 0 1 0 0
C1_00050C_A|348 0 0 1 4 0 1 70 2 9 11 8 6 10 3 4 2 9 18 5 8 8 21 12 11 60 2 1 6 13 3 41 38 36 12 15 49 53
