B9J08_003268	CJI97_003343
B9J08_004188	CJI97_004252
B9J08_000562	CJI97_000565
B9J08_004379	CJI97_004442
B9J08_000657	CJI97_000659
B9J08_000275	CJI97_000276
B9J08_002068	CJI97_002259
B9J08_000666	CJI97_000667
B9J08_005000	CJI97_005083
B9J08_000031	CJI97_000038
B9J08_000865	CJI97_000883
B9J08_005330	CJI97_005413
B9J08_001606	CJI97_001704
B9J08_002439	CJI97_001983
B9J08_002154	CJI97_001627
B9J08_000691	CJI97_000692
B9J08_005372	CJI97_005455
B9J08_003664	CJI97_003739
B9J08_003979	CJI97_004044
B9J08_000185	CJI97_000187
B9J08_004112	CJI97_004175
B9J08_002763	CJI97_002818
B9J08_000857	CJI97_000875
B9J08_005534	CJI97_005615
B9J08_001353	CJI97_001251
B9J08_002335	CJI97_001878
B9J08_003644	CJI97_003719
B9J08_000284	CJI97_000285
B9J08_000011	CJI97_000018
B9J08_000447	CJI97_000447
B9J08_004114	CJI97_004177
B9J08_005384	CJI97_005467
B9J08_003294	CJI97_003369
B9J08_002989	CJI97_003060
B9J08_004290	CJI97_004352
B9J08_003860	CJI97_003933
B9J08_003846	CJI97_003919
B9J08_002548	CJI97_002093
B9J08_000159	CJI97_000162
B9J08_000405	CJI97_000405
B9J08_001028	CJI97_001048
B9J08_000738	CJI97_000739
B9J08_004431	CJI97_004495
B9J08_003817	CJI97_003890
B9J08_000297	CJI97_000298
B9J08_004344	CJI97_004407
B9J08_001018	CJI97_001038
B9J08_004717	CJI97_004734
B9J08_003272	CJI97_003347
B9J08_002050	CJI97_002241
B9J08_003293	CJI97_003368
B9J08_003051	CJI97_003123
B9J08_000945	CJI97_000964
B9J08_002146	CJI97_001635
B9J08_002113	CJI97_002304
B9J08_003175	CJI97_003247
B9J08_002557	CJI97_002102
B9J08_005228	CJI97_005310
B9J08_001679	CJI97_002341
B9J08_005365	CJI97_005448
B9J08_004651	CJI97_004801
B9J08_003836	CJI97_003909
B9J08_005487	CJI97_005570
B9J08_000503	CJI97_000504
B9J08_003260	CJI97_003335
B9J08_003010	CJI97_003081
B9J08_000309	CJI97_000309
B9J08_000216	CJI97_000218
B9J08_001698	CJI97_002360
B9J08_002735	CJI97_002788
B9J08_001476	CJI97_001128
B9J08_004056	CJI97_003968
B9J08_003488	CJI97_003562
B9J08_005022	CJI97_005105
B9J08_000098	CJI97_000103
B9J08_003583	CJI97_003656
B9J08_003875	CJI97_003947
B9J08_002355	CJI97_001900
B9J08_003763	CJI97_003835
B9J08_004321	CJI97_004383
B9J08_004254	CJI97_004317
B9J08_005484	CJI97_005567
B9J08_004433	CJI97_004497
B9J08_005369	CJI97_005452
B9J08_004865	CJI97_004587
B9J08_000343	CJI97_000343
B9J08_000837	CJI97_000855
B9J08_000855	CJI97_000873
B9J08_002621	CJI97_002675
B9J08_000009	CJI97_000016
B9J08_004912	CJI97_004996
B9J08_005138	CJI97_005222
B9J08_005243	CJI97_005325
B9J08_002500	CJI97_002044
B9J08_005358	CJI97_005441
B9J08_004277	CJI97_004340
B9J08_003309	CJI97_003384
B9J08_005461	CJI97_005544
B9J08_004710	CJI97_004741
B9J08_004141	CJI97_004204
B9J08_004913	CJI97_004997
B9J08_001522	CJI97_001082
B9J08_000521	CJI97_000523
B9J08_004355	CJI97_004418
B9J08_004838	CJI97_004614
B9J08_001611	CJI97_001699
B9J08_001245	CJI97_001361
B9J08_000172	CJI97_000174
B9J08_003559	CJI97_003632
B9J08_005001	CJI97_005084
B9J08_004196	CJI97_004260
B9J08_004170	CJI97_004234
B9J08_000039	CJI97_000045
B9J08_005037	CJI97_005121
B9J08_004265	CJI97_004328
B9J08_000197	CJI97_000200
B9J08_001208	CJI97_001398
B9J08_004341	CJI97_004404
B9J08_002605	CJI97_002659
B9J08_001985	CJI97_002170
B9J08_000435	CJI97_000435
B9J08_001519	CJI97_001085
B9J08_002688	CJI97_002740
B9J08_005404	CJI97_005487
B9J08_000713	CJI97_000714
B9J08_001622	CJI97_001688
B9J08_002383	CJI97_001928
B9J08_004846	CJI97_004606
B9J08_004808	CJI97_004644
B9J08_003254	CJI97_003329
B9J08_005433	CJI97_005516
B9J08_005182	CJI97_005266
B9J08_004845	CJI97_004607
B9J08_002141	CJI97_001640
B9J08_001180	CJI97_001426
B9J08_003195	CJI97_003266
B9J08_001945	CJI97_002606
B9J08_001574	CJI97_001736
B9J08_001347	CJI97_001257
B9J08_005516	CJI97_005598
B9J08_004910	CJI97_004994
B9J08_002171	CJI97_001610
B9J08_002509	CJI97_002054
B9J08_000179	CJI97_000181
B9J08_002259	CJI97_001802
B9J08_001230	CJI97_001376
B9J08_000481	CJI97_000481
B9J08_004467	CJI97_004531
B9J08_001874	CJI97_002535
B9J08_005412	CJI97_005495
B9J08_003810	CJI97_003882
B9J08_004657	CJI97_004795
B9J08_000472	CJI97_000472
B9J08_003993	CJI97_004030
B9J08_004273	CJI97_004336
B9J08_005493	CJI97_005576
B9J08_001253	CJI97_001353
B9J08_003087	CJI97_003160
B9J08_002895	CJI97_002951
B9J08_000124	CJI97_000129
B9J08_004827	CJI97_004625
B9J08_000432	CJI97_000432
B9J08_004043	CJI97_003981
B9J08_001068	CJI97_001538
B9J08_005298	CJI97_005382
B9J08_004432	CJI97_004496
B9J08_002276	CJI97_001819
B9J08_002006	CJI97_002197
B9J08_001375	CJI97_001229
B9J08_001524	CJI97_001080
B9J08_001966	CJI97_002151
B9J08_001402	CJI97_001202
B9J08_001934	CJI97_002595
B9J08_002381	CJI97_001926
B9J08_000276	CJI97_000277
B9J08_002804	CJI97_002859
B9J08_003403	CJI97_003478
B9J08_003736	CJI97_003810
B9J08_004489	CJI97_004963
B9J08_004046	CJI97_003978
B9J08_004163	CJI97_004227
B9J08_004949	CJI97_005033
B9J08_004383	CJI97_004446
B9J08_002953	CJI97_003026
B9J08_002078	CJI97_002269
B9J08_003482	CJI97_003556
B9J08_000611	CJI97_000613
B9J08_004541	CJI97_004911
B9J08_003307	CJI97_003382
B9J08_000409	CJI97_000409
B9J08_004889	CJI97_004563
B9J08_001502	CJI97_001102
B9J08_003054	CJI97_003126
B9J08_002678	CJI97_002731
B9J08_000967	CJI97_000986
B9J08_000909	CJI97_000927
B9J08_004708	CJI97_004743
B9J08_001255	CJI97_001351
B9J08_002897	CJI97_002954
B9J08_001235	CJI97_001371
B9J08_003042	CJI97_003114
B9J08_003890	CJI97_003962
B9J08_000649	CJI97_000651
B9J08_002913	CJI97_002987
B9J08_001100	CJI97_001506
B9J08_004171	CJI97_004235
B9J08_005400	CJI97_005483
B9J08_001920	CJI97_002581
B9J08_000671	CJI97_000672
B9J08_005550	CJI97_004541
B9J08_000184	CJI97_000186
B9J08_001531	CJI97_001778
B9J08_005397	CJI97_005480
B9J08_001108	CJI97_001498
B9J08_002928	CJI97_003001
B9J08_004879	CJI97_004573
B9J08_001356	CJI97_001248
B9J08_003236	CJI97_003311
B9J08_005150	CJI97_005234
B9J08_000360	CJI97_000360
B9J08_002377	CJI97_001922
B9J08_004695	CJI97_004756
B9J08_005452	CJI97_005535
B9J08_002641	CJI97_002694
B9J08_004538	CJI97_004914
B9J08_001201	CJI97_001405
B9J08_002636	CJI97_002689
B9J08_004364	CJI97_004427
B9J08_004922	CJI97_005006
B9J08_002674	CJI97_002727
B9J08_003286	CJI97_003361
B9J08_001205	CJI97_001401
B9J08_000748	CJI97_000749
B9J08_003507	CJI97_003581
B9J08_003783	CJI97_003855
B9J08_000022	CJI97_000029
B9J08_004022	CJI97_004002
B9J08_000242	CJI97_000243
B9J08_004685	CJI97_004767
B9J08_004737	CJI97_004715
B9J08_002691	CJI97_002743
B9J08_000523	CJI97_000525
B9J08_004527	CJI97_004925
B9J08_003138	CJI97_003210
B9J08_001819	CJI97_002480
B9J08_002455	CJI97_001999
B9J08_005410	CJI97_005493
B9J08_000890	CJI97_000908
B9J08_002267	CJI97_001810
B9J08_003841	CJI97_003914
B9J08_000554	CJI97_000556
B9J08_001424	CJI97_001180
B9J08_004577	CJI97_004875
B9J08_000834	CJI97_000852
B9J08_001875	CJI97_002536
B9J08_000092	CJI97_000097
B9J08_003887	CJI97_003959
B9J08_003264	CJI97_003339
B9J08_000572	CJI97_000575
B9J08_001501	CJI97_001103
B9J08_005173	CJI97_005257
B9J08_005394	CJI97_005477
B9J08_001721	CJI97_002382
B9J08_003554	CJI97_003627
B9J08_003900	CJI97_004121
B9J08_004021	CJI97_004003
B9J08_000719	CJI97_000720
B9J08_004740	CJI97_004712
B9J08_003417	CJI97_003492
