nodeName	altName	nodeAttr[nodesPresent, ]
C1_00680W_A|2124	NA	darkred
C1_01510W_A|2154	NA	darkred
C1_02630C_A|1440	NA	darkred
C1_04450C_A|833	NA	darkred
C1_04620W_A|1731	NA	darkred
C1_05920W_A|2076	NA	darkred
C1_06280C_A|2532	NA	darkred
C1_07120W_A|1824	NA	darkred
C1_08900W_A|1677	NA	darkred
C1_09180W_A|2631	NA	darkred
C1_09400C_A|1275	NA	darkred
C1_10300W_A|2487	NA	darkred
C1_12010C_A|2715	NA	darkred
C1_13450W_A|2760	NA	darkred
C2_00680C_A|687	NA	darkred
C2_00690W_A|912	NA	darkred
C2_01300C_A|2130	NA	darkred
C2_04970W_A|1833	NA	darkred
C2_07720C_A|2049	NA	darkred
C2_08050C_A|1815	NA	darkred
C2_09810C_A|1305	NA	darkred
C2_10130W_A|3135	NA	darkred
C3_01020W_A|1794	NA	darkred
C3_01360C_A|1791	NA	darkred
C3_02330C_A|933	NA	darkred
C3_03460C_A|816	NA	darkred
C3_04530C_A|2232	NA	darkred
C3_04840C_A|1317	NA	darkred
C3_04880W_A|858	NA	darkred
C3_05810C_A|2214	NA	darkred
C3_07470W_A|1248	NA	darkred
C4_00110C_A|1665	NA	darkred
C4_00120W_A|660	NA	darkred
C4_00130W_A|726	NA	darkred
C4_00720W_A|825	NA	darkred
C4_01230C_A|411	NA	darkred
C4_01320C_A|2838	NA	darkred
C4_01850C_A|1920	NA	darkred
C4_01860C_A|1305	NA	darkred
C4_02030W_A|3336	NA	darkred
C4_02900C_A|1362	NA	darkred
C4_03570W_A|1905	NA	darkred
C4_04380C_A|285	NA	darkred
C4_04530C_A|1647	NA	darkred
C4_04790W_A|2547	NA	darkred
C4_04850C_A|1857	NA	darkred
C4_04860W_A|1176	NA	darkred
C4_05250W_A|708	NA	darkred
C4_05350W_A|1788	NA	darkred
C4_05560C_A|1572	NA	darkred
C4_06480C_A|1266	NA	darkred
C4_06970C_A|1407	NA	darkred
C4_06980W_A|900	NA	darkred
C5_02460C_A|1242	NA	darkred
C5_03020W_A|3615	NA	darkred
C5_03170C_A|2448	NA	darkred
C5_03430W_A|828	NA	darkred
C5_03750W_A|426	NA	darkred
C5_03930C_A|1806	NA	darkred
C5_04830W_A|2145	NA	darkred
C5_04940W_A|1749	NA	darkred
C6_00840W_A|492	NA	darkred
C6_02330W_A|561	NA	darkred
C6_02710C_A|1257	NA	darkred
C6_03030W_A|1257	NA	darkred
C6_03100W_A|1560	NA	darkred
C6_03500C_A|1254	NA	darkred
C6_03700W_A|3783	NA	darkred
C6_03850C_A|1179	NA	darkred
C7_00090C_A|3057	NA	darkred
C7_00100W_A|1779	NA	darkred
C7_00360W_A|1014	NA	darkred
C7_00630C_A|1840	NA	darkred
C7_01500W_A|1311	NA	darkred
C7_02500C_A|921	NA	darkred
C7_03150W_A|2088	NA	darkred
C7_03420C_A|1830	NA	darkred
C7_03440W_A|1662	NA	darkred
MSTRG.12381.1|808|u|NA|Ca22chr7A_C_albicans_SC5314|calb	NA	darkred
C7_03480W_A|3138	NA	darkred
C7_03500W_A|1167	NA	darkred
CR_01010W_A|381	NA	darkred
MSTRG.13525.1|877|u|NA|Ca22chrRA_C_albicans_SC5314|calb	NA	darkred
CR_03890W_A|1926	NA	darkred
CR_05540C_A|1866	NA	darkred
CR_07070C_A|3468	NA	darkred
CR_07220C_A|3123	NA	darkred
CR_07680C_A|2445	NA	darkred
CR_07810W_A|1203	NA	darkred
CR_08510W_A|1371	NA	darkred
CR_09180W_A|798	NA	darkred
CR_09220C_A|1281	NA	darkred
CR_09440C_A|1048	NA	darkred
CR_09530C_A|2169	NA	darkred
CR_09880W_A|2664	NA	darkred
CR_10340W_A|2769	NA	darkred
